date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:33:33	67506/67506	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Feb%202023%2015:23:00%20GMT	https://salahtml.uxper.co/home-nft.html	C:/Users/Naman%20Srivastava/Documents/shit2/salahtml.uxper.co/home-nft.html	(from )
02:33:34	238/238	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Mar%202024%2021:03:32%20GMT	https://salahtml.uxper.co/robots.txt		(from )
02:33:34	1556/1556	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Dec%202022%2018:30:46%20GMT	https://salahtml.uxper.co/assets/images/favicon.png	C:/Users/Naman%20Srivastava/Documents/shit2/salahtml.uxper.co/assets/images/favicon.png	(from https://salahtml.uxper.co/home-nft.html)
02:33:35	89729/89729	---M-Z	200	added ('OK')	text/css	date:Thu,%2007%20Nov%202019%2018:57:56%20GMT	https://salahtml.uxper.co/assets/libs/line-awesome/css/line-awesome.min.css	C:/Users/Naman%20Srivastava/Documents/shit2/salahtml.uxper.co/assets/libs/line-awesome/css/line-awesome.min.css	(from https://salahtml.uxper.co/home-nft.html)
02:33:35	194901/194901	---MCZ	200	added ('OK')	text/css	date:Sun,%2002%20Oct%202022%2023:07:38%20GMT	https://salahtml.uxper.co/assets/libs/bootstrap/css/bootstrap.min.css	C:/Users/Naman%20Srivastava/Documents/shit2/salahtml.uxper.co/assets/libs/bootstrap/css/bootstrap.min.css	(from https://salahtml.uxper.co/home-nft.html)
02:33:35	16469/16469	---M-Z	200	added ('OK')	text/css	date:Sat,%2005%20Nov%202022%2006:10:32%20GMT	https://salahtml.uxper.co/assets/libs/swiper/swiper-bundle.min.css	C:/Users/Naman%20Srivastava/Documents/shit2/salahtml.uxper.co/assets/libs/swiper/swiper-bundle.min.css	(from https://salahtml.uxper.co/home-nft.html)
02:33:35	287321/287321	---MCZ	200	added ('OK')	text/css	date:Fri,%2003%20Feb%202023%2015:18:22%20GMT	https://salahtml.uxper.co/assets/css/style.css	C:/Users/Naman%20Srivastava/Documents/shit2/salahtml.uxper.co/assets/css/style.css	(from https://salahtml.uxper.co/home-nft.html)
02:33:37	50343/50343	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Feb%202023%2015:25:46%20GMT	https://salahtml.uxper.co/index.html	C:/Users/Naman%20Srivastava/Documents/shit2/salahtml.uxper.co/index.html	(from https://salahtml.uxper.co/home-nft.html)
02:33:37	106191/106191	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Feb%202023%2015:23:00%20GMT	https://salahtml.uxper.co/home-app-showcase.html	C:/Users/Naman%20Srivastava/Documents/shit2/salahtml.uxper.co/home-app-showcase.html	(from https://salahtml.uxper.co/home-nft.html)
02:33:38	108655/108655	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Feb%202023%2015:23:00%20GMT	https://salahtml.uxper.co/home-shopify-app.html	C:/Users/Naman%20Srivastava/Documents/shit2/salahtml.uxper.co/home-shopify-app.html	(from https://salahtml.uxper.co/home-nft.html)
02:33:38	55856/55856	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Feb%202023%2015:23:00%20GMT	https://salahtml.uxper.co/home-design-studio.html	C:/Users/Naman%20Srivastava/Documents/shit2/salahtml.uxper.co/home-design-studio.html	(from https://salahtml.uxper.co/home-nft.html)
02:33:39	62707/62707	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Feb%202023%2015:23:00%20GMT	https://salahtml.uxper.co/home-music-app.html	C:/Users/Naman%20Srivastava/Documents/shit2/salahtml.uxper.co/home-music-app.html	(from https://salahtml.uxper.co/home-nft.html)
02:33:40	106009/106009	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Feb%202023%2015:23:00%20GMT	https://salahtml.uxper.co/home-hr-maganement.html	C:/Users/Naman%20Srivastava/Documents/shit2/salahtml.uxper.co/home-hr-maganement.html	(from https://salahtml.uxper.co/home-nft.html)
02:33:40	70387/70387	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Feb%202023%2015:23:00%20GMT	https://salahtml.uxper.co/home-video.html	C:/Users/Naman%20Srivastava/Documents/shit2/salahtml.uxper.co/home-video.html	(from https://salahtml.uxper.co/home-nft.html)
02:33:40	99992/99992	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Feb%202023%2015:23:00%20GMT	https://salahtml.uxper.co/home-coworking.html	C:/Users/Naman%20Srivastava/Documents/shit2/salahtml.uxper.co/home-coworking.html	(from https://salahtml.uxper.co/home-nft.html)
02:33:42	48107/48107	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Feb%202023%2015:23:00%20GMT	https://salahtml.uxper.co/home-design-portfolio.html	C:/Users/Naman%20Srivastava/Documents/shit2/salahtml.uxper.co/home-design-portfolio.html	(from https://salahtml.uxper.co/home-nft.html)
